AMS,Placement Name,Click Link,Impression Link,Non AF Link,Campaign Name,Deliverables,Buying Metric,Unit Cost,Site,Conversion,Start Date,End Date
0,PS-FR-DESK-LaCourse-ADD-TSG-DV360-YouTube-ROS-M1845_Sport_Games_Lifestyle_Lookalikes-POKER-LACOURSE-FDB-0-VOD12LAN-R-X,https://www.pokerstars.fr/sites/vod/lacourse/starcodenull,,https://www.pokerstars.fr/sites/vod/lacourse/starcodenull,PS FR LaCourse ADD 2020,Impression + click tracker links,CPM,0,TSG-DV360-YouTube,Installs,05/05/2020,31/05/2020
0,PS-FR-AND-LaCourse-ADD-TSG-DV360-YouTube-ROS-M1845_Sport_Games_Lifestyle_Lookalikes-POKER-LACOURSE-FDB-0-VOD12LAN-R-X,https://www.pokerstars.fr/sites/android/lacourse/starcodenull,https://impression.appsflyer.com/com.pyrsoftware.pokerstars.fr?c=PS-FR-AND-LaCourse-ADD-TSG-DV360-YouTube-ROS-M1845_Sport_Games_Lifestyle_Lookalikes-POKER-LACOURSE-FDB-0-VOD12LAN-R-X&af_sub4=0&pid=doubleclick_int&af_viewthrough_lookback=1d&af_param_forwarding=false,,PS FR LaCourse ADD 2020,Impression + click tracker links,CPM,0,TSG-DV360-YouTube,Installs,05/05/2020,31/05/2020
0,PS-FR-iOS-LaCourse-ADD-TSG-DV360-YouTube-ROS-M1845_Sport_Games_Lifestyle_Lookalikes-POKER-LACOURSE-FDB-0-VOD12LAN-R-X,https://www.pokerstars.fr/sites/vod/lacourse/starcodenull,https://impression.appsflyer.com/id509469724?c=PS-FR-iOS-LaCourse-ADD-TSG-DV360-YouTube-ROS-M1845_Sport_Games_Lifestyle_Lookalikes-POKER-LACOURSE-FDB-0-VOD12LAN-R-X&af_sub4=0&pid=doubleclick_int&af_viewthrough_lookback=1d,,PS FR LaCourse ADD 2020,Impression + click tracker links,CPM,0,TSG-DV360-YouTube,Installs,05/05/2020,31/05/2020
0,PS-FR-DESK-LaCourse-ADD-TSG-DV360-YouTube-ROS-M1845_Sport_Games_Lifestyle_Lookalikes-POKER-LACOURSE-FDB-0-VOD6LAN-R-X,https://www.pokerstars.fr/sites/vod/lacourse/starcodenull,,https://www.pokerstars.fr/sites/vod/lacourse/starcodenull,PS FR LaCourse ADD 2020,Impression + click tracker links,CPM,0,TSG-DV360-YouTube,Installs,05/05/2020,31/05/2020
0,PS-FR-AND-LaCourse-ADD-TSG-DV360-YouTube-ROS-M1845_Sport_Games_Lifestyle_Lookalikes-POKER-LACOURSE-FDB-0-VOD6LAN-R-X,https://www.pokerstars.fr/sites/android/lacourse/starcodenull,https://impression.appsflyer.com/com.pyrsoftware.pokerstars.fr?c=PS-FR-AND-LaCourse-ADD-TSG-DV360-YouTube-ROS-M1845_Sport_Games_Lifestyle_Lookalikes-POKER-LACOURSE-FDB-0-VOD6LAN-R-X&af_sub4=0&pid=doubleclick_int&af_viewthrough_lookback=1d&af_param_forwarding=false,,PS FR LaCourse ADD 2020,Impression + click tracker links,CPM,0,TSG-DV360-YouTube,Installs,05/05/2020,31/05/2020
0,PS-FR-iOS-LaCourse-ADD-TSG-DV360-YouTube-ROS-M1845_Sport_Games_Lifestyle_Lookalikes-POKER-LACOURSE-FDB-0-VOD6LAN-R-X,https://www.pokerstars.fr/sites/vod/lacourse/starcodenull,https://impression.appsflyer.com/id509469724?c=PS-FR-iOS-LaCourse-ADD-TSG-DV360-YouTube-ROS-M1845_Sport_Games_Lifestyle_Lookalikes-POKER-LACOURSE-FDB-0-VOD6LAN-R-X&af_sub4=0&pid=doubleclick_int&af_viewthrough_lookback=1d,,PS FR LaCourse ADD 2020,Impression + click tracker links,CPM,0,TSG-DV360-YouTube,Installs,05/05/2020,31/05/2020
0,PS-FR-DESK-LaCourse-ADD-TSG-Mediamath-OpenMarket-RON-SiteVisitors-POKER-LACOURSE-FDB-0-VOD6LAN-R-X,https://www.pokerstars.fr/sites/vod/lacourse/starcodenull,,https://www.pokerstars.fr/sites/vod/lacourse/starcodenull,PS FR LaCourse ADD 2020,VAST Tag,CPM,0,TSG-Mediamath-OpenMarket,Installs,05/05/2020,31/05/2020
0,PS-FR-AND-LaCourse-ADD-TSG-Mediamath-OpenMarket-RON-SiteVisitors-POKER-LACOURSE-FDB-0-VOD6LAN-R-X,https://app.appsflyer.com/com.pyrsoftware.pokerstars.fr?c=PS-FR-AND-LaCourse-ADD-TSG-Mediamath-OpenMarket-RON-SiteVisitors-POKER-LACOURSE-FDB-0-VOD6LAN-R-X&af_sub4=0&pid=mediamath_int&af_click_lookback=28d&af_sub1=[BID_ATTR.bid_id]&af_c_id=[AD_ATTR.campaign]&af_ad_id=[AD_ATTR.creative]&af_ad_type=[AD_ATTR.width]x[AD_ATTR.height]&af_siteid=[BID_ATTR.site_id]&af_sub_siteid=[BID_ATTR.pub_id]&af_sub2=[AD_ATTR.strategy]&clickid=[MM_UUID]&advertising_id=[MM_UUID]&idfa=[MM_UUID]&af_r=https://www.pokerstars.fr/sites/android/lacourse/starcodenull,https://impression.appsflyer.com/com.pyrsoftware.pokerstars.fr?c=PS-FR-AND-LaCourse-ADD-TSG-Mediamath-OpenMarket-RON-SiteVisitors-POKER-LACOURSE-FDB-0-VOD6LAN-R-X&af_sub4=0&pid=mediamath_int&af_viewthrough_lookback=1d&af_sub1=[BID_ATTR.bid_id]&af_c_id=[AD_ATTR.campaign]&af_ad_id=[AD_ATTR.creative]&af_ad_type=[AD_ATTR.width]x[AD_ATTR.height]&af_siteid=[BID_ATTR.site_id]&af_sub_siteid=[BID_ATTR.pub_id]&af_sub2=[AD_ATTR.strategy]&clickid=[MM_UUID]&advertising_id=[MM_UUID]&idfa=[MM_UUID],,PS FR LaCourse ADD 2020,VAST Tag,CPM,0,TSG-Mediamath-OpenMarket,Installs,05/05/2020,31/05/2020
0,PS-FR-iOS-LaCourse-ADD-TSG-Mediamath-OpenMarket-RON-SiteVisitors-POKER-LACOURSE-FDB-0-VOD6LAN-R-X,https://app.appsflyer.com/id509469724?c=PS-FR-iOS-LaCourse-ADD-TSG-Mediamath-OpenMarket-RON-SiteVisitors-POKER-LACOURSE-FDB-0-VOD6LAN-R-X&af_sub4=0&pid=mediamath_int&af_click_lookback=28d&af_sub1=[BID_ATTR.bid_id]&af_c_id=[AD_ATTR.campaign]&af_ad_id=[AD_ATTR.creative]&af_ad_type=[AD_ATTR.width]x[AD_ATTR.height]&af_siteid=[BID_ATTR.site_id]&af_sub_siteid=[BID_ATTR.pub_id]&af_sub2=[AD_ATTR.strategy]&clickid=[MM_UUID]&advertising_id=[MM_UUID]&idfa=[MM_UUID]&af_r=https://www.pokerstars.fr/sites/vod/lacourse/starcodenull,https://impression.appsflyer.com/id509469724?c=PS-FR-iOS-LaCourse-ADD-TSG-Mediamath-OpenMarket-RON-SiteVisitors-POKER-LACOURSE-FDB-0-VOD6LAN-R-X&af_sub4=0&pid=mediamath_int&af_viewthrough_lookback=1d&af_sub1=[BID_ATTR.bid_id]&af_c_id=[AD_ATTR.campaign]&af_ad_id=[AD_ATTR.creative]&af_ad_type=[AD_ATTR.width]x[AD_ATTR.height]&af_siteid=[BID_ATTR.site_id]&af_sub_siteid=[BID_ATTR.pub_id]&af_sub2=[AD_ATTR.strategy]&clickid=[MM_UUID]&advertising_id=[MM_UUID]&idfa=[MM_UUID],,PS FR LaCourse ADD 2020,VAST Tag,CPM,0,TSG-Mediamath-OpenMarket,Installs,05/05/2020,31/05/2020
0,PS-FR-DESK-LaCourse-ADD-TSG-Mediamath-OpenMarket-RON-SiteVisitors-POKER-LACOURSE-FDB-0-1x1-R-X,https://www.pokerstars.fr/sites/vod/lacourse/starcodenull,,https://www.pokerstars.fr/sites/vod/lacourse/starcodenull,PS FR LaCourse ADD 2020,VAST Tag,CPM,0,TSG-Mediamath-OpenMarket,Installs,05/05/2020,31/05/2020
